Ticker,Type,Sector,Price,Units,Amount
US30Y,U.S. 30 Year Treasury,NA,90.44,467317,42262981.19
HSON,Common Stock,COMMERCIAL SERVICES,34.95,36138.24,1263031.49
GOGO,Common Stock,COMMUNICATIONS,13.32,94822.19,1263031.57
JAKK,Common Stock,CONSUMER DURABLES,23.37,54044.99,1263031.42
CALM,Common Stock,CONSUMER NON-DURABLES,56.85,22216.91,1263031.33
HRB,Common Stock,CONSUMER SERVICES,44.93,28111.09,1263031.27
HDSN,Common Stock,DISTRIBUTION SERVICES,7.94,159071.98,1263031.52
BELFA,Common Stock,ELECTRONIC TECHNOLOGY,28.52,44285.81,1263031.3
ARLP,Common Stock,ENERGY MINERALS,23.88,52890.76,1263031.35
CI,Common Stock,HEALTH SERVICES,290.35,4350.03,1263031.21
SRTS,Common Stock,HEALTH TECHNOLOGY,14.8,85339.97,1263031.56
LNG,Common Stock,INDUSTRIAL SERVICES,167.25,7551.75,1263030.19
BSM,Common Stock,MISCELLANEOUS,15.7,80447.87,1263031.56
HUDI,Common Stock,NON-ENERGY MINERALS,29.64,42612.4,1263031.54
CF,Common Stock,PROCESS INDUSTRIES,98.59,12810.95,1263031.56
CSL,Common Stock,PRODUCER MANUFACTURING,291.3,4335.84,1263030.19
MUSA,Common Stock,RETAIL TRADE,276.88,4561.65,1263029.65
AZPN,Common Stock,TECHNOLOGY SERVICES,226.37,5579.5,1263031.42
ASC,Common Stock,TRANSPORTATION,10,126303.15,1263031.5
ED,Common Stock,UTILITIES,97.41,12966.13,1263030.72
YCS,ETF,NA,63.33,25261.96,1599839.93
UUP,ETF,NA,29.4,54416.32,1599839.81
EUO,ETF,NA,33.42,47870.73,1599839.8
EWV,ETF,NA,20.04,79832.33,1599839.89
DIG,ETF,NA,36.04,44390.67,1599839.75
TTT,ETF,NA,67.66,23645.28,1599839.64
ERX,ETF,NA,54.51,29349.47,1599839.61
TMV,ETF,NA,119.12,13430.49,1599839.97
TBT,ETF,NA,29.35,54509.02,1599839.74
TYO,ETF,NA,12.52,127782.74,1599839.9
